sequence_id,time_step,time_s,pressure_true_pa,measured_voltage_v,clean_voltage_v,vibration_accel_mps2,vibration_freq_hz,f0_hz,q_factor,resonance_gain,resonance_bandwidth_weight,x_pressure_um,x_vibration_um,x_vibration_to_x_pressure_ratio,x_total_dyn_um,pm,pr,drive_energy_proxy,d_xpressure_dt
0,0,0.0,76785.997968,1.74151904,9.9448172,11.95952573,80.10692447,278.76236851,25.24574053,1.08992872,0.0,8.97215125,0.0,0.0,1.24495164,0.0002999,-0.02083242,72.70408265,2243.03781172
0,1,0.004,76823.068568,2.88746579,9.94896184,12.01929451,80.10692447,278.76236851,25.23693527,1.08992866,0.0,8.9760434,0.0,0.0,2.31807148,0.00031799,-0.0208098,72.73946595,0.97303719
0,2,0.008,76860.456244,3.8687184,9.95314175,12.07899215,80.10692447,278.76236851,25.22806094,1.0899286,0.0,8.97996866,0.0,0.0,3.24310626,0.00033609,-0.02078718,72.77515142,0.98131606
0,3,0.012,76898.160934,4.71744385,9.95735691,12.13860353,80.10692447,278.76236851,25.21911771,1.08992854,0.0,8.98392703,0.0,0.0,4.04052807,0.00035418,-0.02076456,72.811139,0.98959224
0,4,0.016,76936.182547,5.45142908,9.9616073,12.19811358,80.10692447,278.76236851,25.21010577,1.08992848,0.0,8.98791849,0.0,0.0,4.72798505,0.00037228,-0.02074194,72.8474286,0.9978649
0,5,0.02,76974.520959,6.07664552,9.96589292,12.25750722,80.10692447,278.76236851,25.20102528,1.08992842,0.0,8.99194302,0.0,0.0,5.32069022,0.00039037,-0.02071932,72.8840201,1.00613324
0,6,0.024,77013.176018,6.62430716,9.97021373,12.3167694,80.10692447,278.76236851,25.19187645,1.08992836,0.0,8.99600061,0.0,0.0,5.83175684,0.00040847,-0.0206967,72.92091335,1.01439645
0,7,0.028,77052.14754,7.09605435,9.97456972,12.37588509,80.10692447,278.76236851,25.18265948,1.0899283,0.0,9.00009122,0.0,0.0,6.27248766,0.00042656,-0.02067409,72.95810817,1.02265372
0,8,0.032,77091.43531,7.5020179,9.97896085,12.43483929,80.10692447,278.76236851,25.17337457,1.08992824,0.0,9.00421484,0.0,0.0,6.65262445,0.00044466,-0.02065147,72.99560435,1.03090422
0,9,0.036,77131.039083,7.84790595,9.98338708,12.49361702,80.10692447,278.76236851,25.16402194,1.08992817,0.0,9.00837143,0.0,0.0,6.98056309,0.00046275,-0.02062886,73.03340166,1.03914717
0,10,0.04,77170.958584,8.15110853,9.9878484,12.55220335,80.10692447,278.76236851,25.15460181,1.08992811,0.0,9.01256095,0.0,0.0,7.26353923,0.00048085,-0.02060624,73.07149983,1.04738175
0,11,0.044,77211.193506,8.41083491,9.99234475,12.61058338,80.10692447,278.76236851,25.14511442,1.08992805,0.0,9.01678338,0.0,0.0,7.50778823,0.00049894,-0.02058363,73.10989857,1.05560714
0,12,0.048,77251.743513,8.6370311,9.99687609,12.66874225,80.10692447,278.76236851,25.13556001,1.08992798,0.0,9.02103867,0.0,0.0,7.71868321,0.00051703,-0.02056102,73.14859755,1.06382255
0,13,0.052,77292.608238,8.82535084,10.00144238,12.72666515,80.10692447,278.76236851,25.12593882,1.08992792,0.0,9.02532678,0.0,0.0,7.90085405,0.00053512,-0.02053841,73.18759642,1.07202717
0,14,0.056,77333.787283,8.99806219,10.00604357,12.78433732,80.10692447,278.76236851,25.11625111,1.08992785,0.0,9.02964766,0.0,0.0,8.05828993,0.00055322,-0.0205158,73.22689479,1.08022019
0,15,0.06,77375.28022,9.13680132,10.0106796,12.84174405,80.10692447,278.76236851,25.10649715,1.08992779,0.0,9.03400127,0.0,0.0,8.19442789,0.00057131,-0.02049319,73.26649226,1.08840082
0,16,0.064,77417.086591,9.25894621,10.01535043,12.89887068,80.10692447,278.76236851,25.0966772,1.08992772,0.0,9.03838754,0.0,0.0,8.31222903,0.0005894,-0.02047058,73.30638838,1.09656825
0,17,0.068,77459.205907,9.37363669,10.02005598,12.95570263,80.10692447,278.76236851,25.08679154,1.08992765,0.0,9.04280643,0.0,0.0,8.41424428,0.00060749,-0.02044798,73.34658269,1.10472168
0,18,0.072,77501.637649,9.46689145,10.0247962,13.01222537,80.10692447,278.76236851,25.07684047,1.08992758,0.0,9.04725787,0.0,0.0,8.50267115,0.00062558,-0.02042538,73.38707468,1.11286031
0,19,0.076,77544.381269,9.55399431,10.02957102,13.06842445,80.10692447,278.76236851,25.06682428,1.08992752,0.0,9.0517418,0.0,0.0,8.57940251,0.00064366,-0.02040278,73.42786383,1.12098335
0,20,0.08,77587.436187,9.62436856,10.03438037,13.12428547,80.10692447,278.76236851,25.05674326,1.08992745,0.0,9.05625816,0.0,0.0,8.64606881,0.00066175,-0.02038018,73.46894959,1.12909
0,21,0.084,77630.801794,9.68050549,10.03922417,13.17979413,80.10692447,278.76236851,25.04659773,1.08992738,0.0,9.06080688,0.0,0.0,8.70407431,0.00067984,-0.02035759,73.51033137,1.13717946
0,22,0.088,77674.47745,9.74055708,10.04410236,13.2349362,80.10692447,278.76236851,25.036388,1.08992731,0.0,9.06538788,0.0,0.0,8.75462843,0.00069793,-0.02033499,73.55200856,1.14525095
0,23,0.092,77718.462486,9.78203513,10.04901485,13.28969753,80.10692447,278.76236851,25.0261144,1.08992724,0.0,9.0700011,0.0,0.0,8.79877273,0.00071601,-0.0203124,73.59398051,1.15330368
0,24,0.096,77762.756203,9.82593931,10.05396155,13.34406407,80.10692447,278.76236851,25.01577726,1.08992717,0.0,9.07464644,0.0,0.0,8.83740412,0.0007341,-0.02028982,73.63624656,1.16133686
0,25,0.1,77807.357871,9.86142462,10.05894239,13.39802183,80.10692447,278.76236851,25.00537692,1.0899271,0.0,9.07932384,0.0,0.0,8.87129493,0.00075218,-0.02026723,73.67880601,1.16934969
0,26,0.104,77852.266732,9.89441799,10.06395726,13.45155695,80.10692447,278.76236851,24.99491372,1.08992703,0.0,9.08403321,0.0,0.0,8.90111015,0.00077026,-0.02024465,73.72165813,1.17734141
0,27,0.108,77897.481997,9.92456887,10.06900609,13.50465564,80.10692447,278.76236851,24.98438802,1.08992695,0.0,9.08877445,0.0,0.0,8.92742233,0.00078834,-0.02022207,73.76480216,1.18531123
0,28,0.112,77943.002848,9.94886116,10.07408876,13.55730423,80.10692447,278.76236851,24.97380018,1.08992688,0.0,9.09354749,0.0,0.0,8.95072442,0.00080642,-0.0201995,73.80823733,1.19325836
0,29,0.116,77988.828437,9.97007513,10.07920518,13.60948915,80.10692447,278.76236851,24.96315056,1.08992681,0.0,9.09835222,0.0,0.0,8.97144075,0.0008245,-0.02017692,73.85196281,1.20118203
0,30,0.12,78034.957887,9.99069045,10.08435526,13.66119693,80.10692447,278.76236851,24.95243954,1.08992673,0.0,9.10318854,0.0,0.0,8.9899366,0.00084258,-0.02015435,73.89597778,1.20908148
0,31,0.124,78081.390291,10.00786162,10.08953887,13.71241421,80.10692447,278.76236851,24.94166749,1.08992666,0.0,9.10805636,0.0,0.0,9.0065264,0.00086065,-0.02013179,73.94028136,1.21695592
0,32,0.128,78128.124714,10.02048929,10.09475592,13.76312776,80.10692447,278.76236851,24.93083481,1.08992659,0.0,9.11295558,0.0,0.0,9.02148076,0.00087873,-0.02010923,73.98487266,1.22480458
0,33,0.132,78175.160189,10.03466883,10.10000628,13.81332447,80.10692447,278.76236851,24.91994189,1.08992651,0.0,9.11788609,0.0,0.0,9.03503259,0.0008968,-0.02008667,74.02975075,1.23262671
0,34,0.136,78222.495723,10.04858175,10.10528984,13.86299132,80.10692447,278.76236851,24.90898914,1.08992643,0.0,9.12284778,0.0,0.0,9.04738232,0.00091488,-0.02006411,74.07491468,1.24042154
0,35,0.14,78270.130293,10.06356402,10.11060649,13.91211544,80.10692447,278.76236851,24.89797695,1.08992636,0.0,9.12784053,0.0,0.0,9.05870242,0.00093295,-0.02004156,74.12036348,1.2481883
0,36,0.144,78318.062846,10.07245178,10.1159561,13.9606841,80.10692447,278.76236851,24.88690574,1.08992628,0.0,9.13286423,0.0,0.0,9.06914129,0.00095102,-0.02001902,74.16609614,1.25592624
0,37,0.148,78366.292301,10.09054313,10.12133854,14.00868467,80.10692447,278.76236851,24.87577594,1.0899262,0.0,9.13791877,0.0,0.0,9.07882661,0.00096909,-0.01999647,74.21211162,1.2636346
